File,Mean,StdDev,Median,Range
0.938437,0.005391,0.939588,0.016027
1.826990,0.011465,1.826190,0.036310
3.604670,0.019794,3.605405,0.068140
7.120340,0.030355,7.130820,0.082470
14.149444,0.058162,14.1473,0.211000
0.072457,0.001756,0.071922,0.006691
0.078096,0.003984,0.077245,0.014331
0.083463,0.004121,0.082917,0.013758
0.085121,0.003888,0.0841064,0.012788
0.092970,0.003418,0.092610,0.012186
0.072098,0.003847,0.071296,0.014397
0.101609,0.002277,0.100442,0.007109
0.154552,0.004576,0.153610,0.017295
0.268596,0.004354,0.268613,0.015897
0.487360,0.006183,0.489022,0.019595
0.938445,0.006542,0.938583,0.025060
1.833020,0.009258,1.835045,0.027310
3.608467,0.031602,3.60771,0.110370
7.126440,0.039509,7.129965,0.130930
14.133900,0.070815,14.137600,0.259600
0.076534,0.003763,0.075350,0.011879
0.081672,0.003934,0.079852,0.010781
0.084147,0.002905,0.083672,0.009615
0.092068,0.002969,0.092209,0.009143
0.101513,0.003468,0.099888,0.011004
0.152449,0.001764,0.151820,0.005562
0.261139,0.004780,0.260554,0.015991
0.492008,0.004556,0.492557,0.015601
