numItem=21, bitlen=64, HW=8, isEncrypted=0,Average,Std Dev,Min,Max,Median
21,64,8,1,,,,42.44175,.29180,42.053,43.1818,42.44545
21,36,16,0,,,,10.25703,.10663,10.059,10.4496,10.27755
21,36,16,1,,,,30.59253,.29981,30.2362,31.2945,30.54920
21,117,16,0,,,,11.71875,.06488,11.5984,11.831,11.71595
21,117,16,1,,,,78.64120,.44116,78.1138,79.5871,78.40920
21,68,32,0,,,,20.78931,.24867,20.4547,21.3844,20.74725
21,68,32,1,,,,73.09049,.51374,72.526,74.0472,72.89520
21,221,32,0,,,,23.65477,.25895,23.3549,24.1468,23.58475
21,221,32,1,,,,184.86220,1.38260,183.037,188.301,184.63600
21,132,64,0,,,,50.85948,.39788,50.356,51.6992,50.72050
21,132,64,1,,,,143.42480,.59744,142.204,144.277,143.43900
22,64,8,0,,,,8.86896,.14649,8.67529,9.1743,8.85287
22,64,8,1,,,,83.97816,.36173,83.4055,84.7227,84.01115
22,36,16,0,,,,20.23191,.21241,19.9418,20.6234,20.23200
22,36,16,1,,,,60.91255,.26378,60.4783,61.2086,60.93730
22,117,16,0,,,,22.95342,.14501,22.7662,23.2787,22.94595
22,117,16,1,,,,156.37640,.55976,155.609,157.222,156.25250
22,68,32,0,,,,40.59111,.21524,40.3113,41.0362,40.50850
22,68,32,1,,,,145.42840,.53239,144.604,146.372,145.53950
22,221,32,0,,,,0,0,N/A,N/A,N/A
